행정동,분기,임대료(천원/㎡)
중림동,20253,77.2
중림동,20254,77.9
후암동,20211,41.1
후암동,20212,41
후암동,20213,40.9
후암동,20214,40.9
후암동,20221,41.1
후암동,20222,40.6
후암동,20223,40.8
후암동,20224,40.9
후암동,20231,40.8
후암동,20232,40.7
후암동,20233,40.7
후암동,20234,40.8
후암동,20241,41.1
후암동,20242,41.7
후암동,20243,42.4
후암동,20244,42.6
후암동,20244,44
후암동,20251,42.9
후암동,20252,43.2
후암동,20253,43.6
후암동,20254,44
용산2가동,20211,41.1
용산2가동,20212,41
용산2가동,20213,40.9
용산2가동,20214,40.9
용산2가동,20221,41.1
용산2가동,20222,40.6
용산2가동,20223,40.8
용산2가동,20224,40.9
용산2가동,20231,40.8
용산2가동,20232,40.7
용산2가동,20233,40.7
용산2가동,20234,40.8
용산2가동,20241,41.1
용산2가동,20242,41.7
용산2가동,20243,42.4
용산2가동,20244,42.6
용산2가동,20244,44
용산2가동,20251,42.9
용산2가동,20252,43.2
용산2가동,20253,43.6
용산2가동,20254,44
남영동,20211,41.1
남영동,20212,41
남영동,20213,40.9
남영동,20214,40.9
남영동,20221,41.1
남영동,20222,40.6
남영동,20223,40.8
남영동,20224,40.9
남영동,20231,40.8
남영동,20232,40.7
남영동,20233,40.7
남영동,20234,40.8
남영동,20241,41.1
남영동,20242,41.7
남영동,20243,42.4
남영동,20244,42.6
남영동,20244,44
남영동,20251,42.9
남영동,20252,43.2
남영동,20253,43.6
남영동,20254,44
청파동,20211,41.1
청파동,20212,41
청파동,20213,40.9
청파동,20214,40.9
청파동,20221,41.1
청파동,20222,40.6
청파동,20223,40.8
청파동,20224,40.9
청파동,20231,40.8
청파동,20232,40.7
청파동,20233,40.7
청파동,20234,40.8
청파동,20241,41.1
청파동,20242,41.7
청파동,20243,42.4
청파동,20244,42.6
청파동,20244,44
청파동,20251,42.9
청파동,20252,43.2
청파동,20253,43.6
청파동,20254,44
원효로1동,20211,41.1
원효로1동,20212,41
원효로1동,20213,40.9
원효로1동,20214,40.9
원효로1동,20221,41.1
원효로1동,20222,40.6
원효로1동,20223,40.8
원효로1동,20224,40.9
원효로1동,20231,40.8
원효로1동,20232,40.7
원효로1동,20233,40.7
원효로1동,20234,40.8
원효로1동,20241,41.1
원효로1동,20242,41.7
원효로1동,20243,42.4
원효로1동,20244,42.6
원효로1동,20244,44
원효로1동,20251,42.9
원효로1동,20252,43.2
원효로1동,20253,43.6
원효로1동,20254,44
원효로2동,20211,41.1
원효로2동,20212,41
원효로2동,20213,40.9
원효로2동,20214,40.9
원효로2동,20221,41.1
원효로2동,20222,40.6
원효로2동,20223,40.8
원효로2동,20224,40.9
원효로2동,20231,40.8
원효로2동,20232,40.7
원효로2동,20233,40.7
원효로2동,20234,40.8
원효로2동,20241,41.1
원효로2동,20242,41.7
원효로2동,20243,42.4
원효로2동,20244,42.6
원효로2동,20244,44
원효로2동,20251,42.9
원효로2동,20252,43.2
원효로2동,20253,43.6
원효로2동,20254,44
효창동,20211,41.1
효창동,20212,41
효창동,20213,40.9
효창동,20214,40.9
효창동,20221,41.1
효창동,20222,40.6
효창동,20223,40.8
효창동,20224,40.9
효창동,20231,40.8
효창동,20232,40.7
효창동,20233,40.7
효창동,20234,40.8
효창동,20241,41.1
효창동,20242,41.7
효창동,20243,42.4
효창동,20244,42.6
효창동,20244,44
효창동,20251,42.9
효창동,20252,43.2
효창동,20253,43.6
효창동,20254,44
용문동,20211,41.1
용문동,20212,41
용문동,20213,40.9
용문동,20214,40.9
용문동,20221,41.1
용문동,20222,40.6
용문동,20223,40.8
용문동,20224,40.9
용문동,20231,40.8
용문동,20232,40.7
용문동,20233,40.7
용문동,20234,40.8
용문동,20241,41.1
용문동,20242,41.7
용문동,20243,42.4
용문동,20244,42.6
용문동,20244,44
용문동,20251,42.9
용문동,20252,43.2
용문동,20253,43.6
용문동,20254,44
한강로동,20211,41.1
한강로동,20212,41
한강로동,20213,40.9
한강로동,20214,40.9
한강로동,20221,41.1
한강로동,20222,40.6
한강로동,20223,40.8
한강로동,20224,40.9
한강로동,20231,40.8
한강로동,20232,40.7
한강로동,20233,40.7
한강로동,20234,40.8
한강로동,20241,41.1
한강로동,20242,41.7
한강로동,20243,42.4
한강로동,20244,42.6
한강로동,20244,44
한강로동,20251,42.9
한강로동,20252,43.2
한강로동,20253,43.6
한강로동,20254,44
이촌1동,20211,41.1
이촌1동,20212,41
이촌1동,20213,40.9
이촌1동,20214,40.9
이촌1동,20221,41.1
이촌1동,20222,40.6
이촌1동,20223,40.8
이촌1동,20224,40.9
이촌1동,20231,40.8
이촌1동,20232,40.7
이촌1동,20233,40.7
이촌1동,20234,40.8
이촌1동,20241,41.1
이촌1동,20242,41.7
이촌1동,20243,42.4
이촌1동,20244,42.6
이촌1동,20244,44
이촌1동,20251,42.9
이촌1동,20252,43.2
이촌1동,20253,43.6
이촌1동,20254,44
이촌2동,20211,41.1
이촌2동,20212,41
이촌2동,20213,40.9
이촌2동,20214,40.9
이촌2동,20221,41.1
이촌2동,20222,40.6
이촌2동,20223,40.8
이촌2동,20224,40.9
이촌2동,20231,40.8
이촌2동,20232,40.7
이촌2동,20233,40.7
이촌2동,20234,40.8
이촌2동,20241,41.1
이촌2동,20242,41.7
이촌2동,20243,42.4
이촌2동,20244,42.6
이촌2동,20244,44
이촌2동,20251,42.9
이촌2동,20252,43.2
이촌2동,20253,43.6
이촌2동,20254,44
이태원1동,20211,41.1
이태원1동,20212,41
이태원1동,20213,40.9
이태원1동,20214,40.9
이태원1동,20221,41.1
이태원1동,20222,40.6
이태원1동,20223,40.8
이태원1동,20224,40.9
이태원1동,20231,40.8
이태원1동,20232,40.7
이태원1동,20233,40.7
이태원1동,20234,40.8
이태원1동,20241,41.1
이태원1동,20242,41.7
이태원1동,20243,42.4
이태원1동,20244,42.6
이태원1동,20244,44
이태원1동,20251,42.9
이태원1동,20252,43.2
이태원1동,20253,43.6
이태원1동,20254,44
이태원2동,20211,41.1
이태원2동,20212,41
이태원2동,20213,40.9
이태원2동,20214,40.9
이태원2동,20221,41.1
이태원2동,20222,40.6
이태원2동,20223,40.8
이태원2동,20224,40.9
이태원2동,20231,40.8
이태원2동,20232,40.7
이태원2동,20233,40.7
이태원2동,20234,40.8
이태원2동,20241,41.1
이태원2동,20242,41.7
이태원2동,20243,42.4
이태원2동,20244,42.6
이태원2동,20244,44
이태원2동,20251,42.9
이태원2동,20252,43.2
이태원2동,20253,43.6
이태원2동,20254,44
한남동,20211,41.1
한남동,20212,41
한남동,20213,40.9
한남동,20214,40.9
한남동,20221,41.1
한남동,20222,40.6
한남동,20223,40.8
한남동,20224,40.9
한남동,20231,40.8
한남동,20232,40.7
한남동,20233,40.7
한남동,20234,40.8
한남동,20241,41.1
한남동,20242,41.7
한남동,20243,42.4
한남동,20244,42.6
한남동,20244,44
한남동,20251,42.9
한남동,20252,43.2
한남동,20253,43.6
한남동,20254,44
